# TargetDeployments.txt


##########################
##                      ##
##  Target deployments  ##
##                      ##
##########################

 Arch_OS_Bits_Compiler[_Feat.]    | Build         | License Model
 PA-RISC_HP-UX_32_gccV471         | ST/MT-Engines | EULA/no_license_key_needed
 PA-RISC_HP-UX_64_ccVc0370        | ST/MT-Engines | EULA/no_license_key_needed
 PA-RISC_HP-UX_64_gccV471         | ST/MT-Engines | EULA/no_license_key_needed
 PA-RISC_Linux_32_gccV492         | ST/MT-Engines | EULA/no_license_key_needed
 PA-RISC_Linux_32_gccV1021        | ST/MT-Engines | EULA/no_license_key_needed
 SPARC_SunOS_32_ccV510            | ST/MT-Engines | EULA/no_license_key_needed
 SPARC_SunOS_32_gccV343           | ST/MT-Engines | EULA/no_license_key_needed
 SPARC_SunOS_64_ccV510            | ST/MT-Engines | EULA/no_license_key_needed
 SPARC_SunOS_64_gccV343           | ST/MT-Engines | EULA/no_license_key_needed
 SPARC_Linux_32_gccV1021          | ST/MT-Engines | EULA/no_license_key_needed
 SPARC_Linux_32_clangV1101        | ST/MT-Engines | EULA/no_license_key_needed
 SPARC_Linux_64_gccV1021          | ST/MT-Engines | EULA/no_license_key_needed
 SPARC_Linux_64_clangV1101        | ST/MT-Engines | EULA/no_license_key_needed
 SPARC_FreeBSD_64_gccV421         | ST/MT-Engines | EULA/no_license_key_needed
 SPARC_OpenBSD_64_gccV830         | ST/MT-Engines | EULA/no_license_key_needed
 SPARC_OpenBSD_64_clangV801       | ST/MT-Engines | EULA/no_license_key_needed
 MIPS_IRIX_32_ccV744m             | ST/MT-Engines | EULA/no_license_key_needed
 MIPS_IRIX_32_gccV471             | ST/MT-Engines | EULA/no_license_key_needed
 MIPS_IRIX_64_ccV744m             | ST/MT-Engines | EULA/no_license_key_needed
 MIPS_IRIX_64_gccV471             | ST/MT-Engines | EULA/no_license_key_needed
 MIPS_Linux_32_gccV930            | ST/MT-Engines | EULA/no_license_key_needed
 MIPS_Linux_32_gccV830_sgi        | ST/MT-Engines | EULA/no_license_key_needed
 MIPS_Linux_64_gccV930            | ST/MT-Engines | EULA/no_license_key_needed
 MIPSel_Linux_32_gccV930          | ST/MT-Engines | EULA/no_license_key_needed
 MIPSel_Linux_64_gccV930          | ST/MT-Engines | EULA/no_license_key_needed
 MIPSel_Android_32_gccV49x        | ST/MT-Engines | EULA/no_license_key_needed
 MIPSel_Android_32_clangV503      | ST/MT-Engines | EULA/no_license_key_needed
 MIPSel_Android_64_gccV49x        | ST/MT-Engines | EULA/no_license_key_needed
 MIPSel_Android_64_clangV503      | ST/MT-Engines | EULA/no_license_key_needed
 PowerPC_AIX_32_xlcV1313          | ST/MT-Engines | EULA/no_license_key_needed
 PowerPC_AIX_32_gccV494           | ST/MT-Engines | EULA/no_license_key_needed
 PowerPC_AIX_64_xlcV1313          | ST/MT-Engines | EULA/no_license_key_needed
 PowerPC_AIX_64_gccV494           | ST/MT-Engines | EULA/no_license_key_needed
 PowerPC_MacOS_32_gccV421         | ST/MT-Engines | EULA/no_license_key_needed
 PowerPC_MacOS_64_gccV421         | ST/MT-Engines | EULA/no_license_key_needed
 PowerPC_Linux_32_gccV492         | ST/MT-Engines | EULA/no_license_key_needed
 PowerPC_Linux_32_gccV1021        | ST/MT-Engines | EULA/no_license_key_needed
 PowerPC_Linux_32_clangV350       | ST/MT-Engines | EULA/no_license_key_needed
 PowerPC_Linux_32_clangV1101      | ST/MT-Engines | EULA/no_license_key_needed
 PowerPC_Linux_64_gccV492         | ST/MT-Engines | EULA/no_license_key_needed
 PowerPC_Linux_64_gccV1021        | ST/MT-Engines | EULA/no_license_key_needed
 PowerPC_Linux_64_clangV350       | ST/MT-Engines | EULA/no_license_key_needed
 PowerPC_Linux_64_clangV1101      | ST/MT-Engines | EULA/no_license_key_needed
 PowerPC_FreeBSD_32_gccV920       | ST/MT-Engines | EULA/no_license_key_needed
 PowerPC_FreeBSD_32_clangV801     | ST/MT-Engines | EULA/no_license_key_needed
 PowerPC_FreeBSD_64_gccV920       | ST/MT-Engines | EULA/no_license_key_needed
 PowerPC_FreeBSD_64_clangV801     | ST/MT-Engines | EULA/no_license_key_needed
 PowerPCle_Linux_32_gccV930       | ST/MT-Engines | EULA/no_license_key_needed
 PowerPCle_Linux_64_gccV1021      | ST/MT-Engines | EULA/no_license_key_needed
 PowerPCle_Linux_64_clangV1101    | ST/MT-Engines | EULA/no_license_key_needed
 PowerPCle_Linux_64_xlcV1611      | ST/MT-Engines | EULA/no_license_key_needed
 S390_Linux_32_gccV930            | ST/MT-Engines | EULA/no_license_key_needed
 S390_Linux_64_gccV930            | ST/MT-Engines | EULA/no_license_key_needed
 S390_Linux_64_clangV381          | ST/MT-Engines | EULA/no_license_key_needed
 M68000_Linux_32_gccV930          | ST/MT-Engines | EULA/no_license_key_needed
 ARMeabi_Linux_32_gccV1021        | ST/MT-Engines | EULA/no_license_key_needed
 ARMeabihf_Linux_32_gccV1021      | ST/MT-Engines | EULA/no_license_key_needed
 ARMeabihf_Linux_32_clangV381     | ST/MT-Engines | EULA/no_license_key_needed
 ARM_Linux_64_gccV1021            | ST/MT-Engines | EULA/no_license_key_needed
 ARM_Linux_64_clangV1101          | ST/MT-Engines | EULA/no_license_key_needed
 ARM_FreeBSD_64_gccV920           | ST/MT-Engines | EULA/no_license_key_needed
 ARM_FreeBSD_64_clangV801         | ST/MT-Engines | EULA/no_license_key_needed
 ARM_Android_32_gccV49x           | ST/MT-Engines | EULA/no_license_key_needed
 ARM_Android_32_clangV503         | ST/MT-Engines | EULA/no_license_key_needed
 ARM_Android_64_gccV49x           | ST/MT-Engines | EULA/no_license_key_needed
 ARM_Android_64_clangV503         | ST/MT-Engines | EULA/no_license_key_needed
 ARM_MacOS_64_clangV1200          | ST/MT-Engines | EULA/no_license_key_needed
 ARMe_MacOS_64_clangV1200         | ST/MT-Engines | EULA/no_license_key_needed
 ARMbe_Linux_64_gccV930           | ST/MT-Engines | EULA/no_license_key_needed
 RISCV_Linux_32_gccV930           | ST/MT-Engines | EULA/no_license_key_needed
 RISCV_Linux_64_gccV930           | ST/MT-Engines | EULA/no_license_key_needed
 LoongArch_Linux_64_gccV1300      | ST/MT-Engines | EULA/no_license_key_needed


##########################################
##                                      ##
##  Target deployments (Build details)  ##
##                                      ##
##########################################

 Deployment                       | Build_MultiProcess Details
----------------------------------+--------------------------------------------
 x86_WindowsCygwin_32_gccV640     | gcc version 6.4.0 (GCC) as [PE32 executabl
                                  | e (console) Intel 80386 (stripped to exter
                                  | nal PDB), for MS Windows] at systime Fri J
                                  | un 13 13:01:15 CEST 2025 on [CYGWIN_NT-6.1
                                  | -WOW WINDOWS7VM 2.10.0(0.325/5/3) 2018-02-
                                  | 02 15:21 i686 Cygwin]
----------------------------------+--------------------------------------------
 x86_WindowsUWIN_32_gccV295       | gcc version 2.95.2 19991024 (release) as [
                                  | win32 386 executable] at systime Fri Jun 1
                                  | 3 13:01:21 CEST 2025 on [UWIN-XP WINXPVM 3
                                  | .1-5.1 2600 i586]
----------------------------------+--------------------------------------------
 x86_WindowsSFU-SUA_32_gccV33     | gcc version 3.3 as [Windows NT PE format (
                                  | EXE), dynamically linked executable Intel
                                  | Posix-CUI] at systime Fri Jun 13 13:01:25
                                  | CEST 2025 on [Interix WINDOWS7VM 6.1 10.0.
                                  | 7063.0 x86]
----------------------------------+--------------------------------------------
 x86_Linux_32_gccV485             | gcc version 4.8.5 20150623 (Red Hat 4.8.5-
                                  | 4) (GCC) as [ELF 32-bit LSB executable, In
                                  | tel 80386, version 1 (SYSV), dynamically l
                                  | inked (uses shared libs), for GNU/Linux 2.
                                  | 6.32, stripped] at systime Fri Jun 13 13:0
                                  | 1:14 CEST 2025 on [Linux RedHatELS72VM 3.1
                                  | 0.0-327.el7.x86_64 #1 SMP Thu Oct 29 17:29
                                  | :29 EDT 2015 x86_64]
----------------------------------+--------------------------------------------
 x86_Linux_32_gccV1021            | gcc version 10.2.1 20210110 (Debian 10.2.1
                                  | -6) as [ELF 32-bit LSB executable, Intel 8
                                  | 0386, version 1 (SYSV), dynamically linked
                                  |  (uses shared libs), for GNU/Linux 3.2.0,
                                  | stripped] at systime Fri Jun 13 13:01:18 C
                                  | EST 2025 on [Linux Linux64core 5.10.0-6-am
                                  | d64 #1 SMP Debian 5.10.28-1 (2021-04-09) x
                                  | 86_64]
----------------------------------+--------------------------------------------
 x86_Linux_32_clangV1101          | Debian clang version 11.0.1-2 as [ELF 32-b
                                  | it LSB executable, Intel 80386, version 1
                                  | (SYSV), dynamically linked (uses shared li
                                  | bs), for GNU/Linux 3.2.0, stripped] at sys
                                  | time Fri Jun 13 13:01:19 CEST 2025 on [Lin
                                  | ux Linux64core 5.10.0-6-amd64 #1 SMP Debia
                                  | n 5.10.28-1 (2021-04-09) x86_64]
----------------------------------+--------------------------------------------
 x86_Linux_32_iccVxe2019u3        | icc version 19.0.3.199 (gcc version 4.8.5
                                  | compatibility) Intel(R) C Intel(R) 64 Comp
                                  | iler for applications running on Intel(R)
                                  | 64, Version 19.0.3.199 Build 20190206 (Cop
                                  | yright (C) 1985-2019 Intel Corporation. Al
                                  | l rights reserved.) as [ELF 32-bit LSB exe
                                  | cutable, Intel 80386, version 1 (SYSV), dy
                                  | namically linked (uses shared libs), for G
                                  | NU/Linux 2.6.32, stripped] at systime Fri
                                  | Jun 13 13:01:19 CEST 2025 on [Linux RedHat
                                  | ELS72VM 3.10.0-327.el7.x86_64 #1 SMP Thu O
                                  | ct 29 17:29:29 EDT 2015 x86_64]
----------------------------------+--------------------------------------------
 x86_FreeBSD_32_gccV920           | gcc version 9.2.0 (FreeBSD Ports Collectio
                                  | n) as [ELF 32-bit LSB executable, Intel 80
                                  | 386, version 1 (FreeBSD), dynamically link
                                  | ed (uses shared libs), for FreeBSD 12.1, F
                                  | reeBSD-style, stripped] at systime Fri Jun
                                  |  13 13:01:11 CEST 2025 on [FreeBSD FreeBSD
                                  | 12VM 12.1-RELEASE FreeBSD 12.1-RELEASE r35
                                  | 4233 GENERIC amd64]
----------------------------------+--------------------------------------------
 x86_FreeBSD_32_clangV801         | FreeBSD clang version 8.0.1 (tags/RELEASE_
                                  | 801/final 366581) (based on LLVM 8.0.1) as
                                  |  [ELF 32-bit LSB executable, Intel 80386,
                                  | version 1 (FreeBSD), dynamically linked (u
                                  | ses shared libs), for FreeBSD 12.1, FreeBS
                                  | D-style, stripped] at systime Fri Jun 13 1
                                  | 3:01:09 CEST 2025 on [FreeBSD FreeBSD12VM
                                  | 12.1-RELEASE FreeBSD 12.1-RELEASE r354233
                                  | GENERIC amd64]
----------------------------------+--------------------------------------------
 x86_OpenBSD_32_gccV830           | gcc version 8.3.0 (GCC) as [ELF 32-bit LSB
                                  |  executable, Intel 80386, version 1, dynam
                                  | ically linked (uses shared libs), for Open
                                  | BSD 6.6, stripped] at systime Fri Jun 13 1
                                  | 3:01:34 CEST 2025 on [OpenBSD OpenBSD66VM.
                                  | ESXsrv.net 6.6 (GENERIC.MP) #304: Sat Oct
                                  | 12 11:18:21 MDT 2019 deraadt@i386.openbsd.
                                  | org:/usr/src/sys/arch/i386/compile/GENERIC
                                  | .MP i386]
----------------------------------+--------------------------------------------
 x86_OpenBSD_32_clangV801         | clang version 8.0.1 (tags/RELEASE_801/fina
                                  | l) (based on LLVM 8.0.1) as [ELF 32-bit LS
                                  | B executable, Intel 80386, version 1, dyna
                                  | mically linked (uses shared libs), for Ope
                                  | nBSD 6.6, stripped] at systime Fri Jun 13
                                  | 13:01:30 CEST 2025 on [OpenBSD OpenBSD66VM
                                  | .ESXsrv.net 6.6 (GENERIC.MP) #304: Sat Oct
                                  |  12 11:18:21 MDT 2019 deraadt@i386.openbsd
                                  | .org:/usr/src/sys/arch/i386/compile/GENERI
                                  | C.MP i386]
----------------------------------+--------------------------------------------
 x86_NetBSD_32_gccV830            | gcc version 8.3.0 (GCC) as [ELF 32-bit LSB
                                  |  executable, Intel 80386, version 1 (SYSV)
                                  | , dynamically linked (uses shared libs), f
                                  | or NetBSD 8.1, stripped] at systime Fri Ju
                                  | n 13 13:01:13 CEST 2025 on [NetBSD NetBSD8
                                  | 1VM.ESXsrv.net 8.1 NetBSD 8.1 (GENERIC) #0
                                  | : Fri May 31 08:43:59 UTC 2019 mkrepro@mkr
                                  | epro.NetBSD.org:/usr/src/sys/arch/amd64/co
                                  | mpile/GENERIC amd64]
----------------------------------+--------------------------------------------
 x86_NetBSD_32_clangV900          | clang version 9.0.0 (tags/RELEASE_900/fina
                                  | l) (based on LLVM 9.0.0) as [ELF 32-bit LS
                                  | B executable, Intel 80386, version 1 (SYSV
                                  | ), dynamically linked (uses shared libs),
                                  | for NetBSD 8.1, stripped] at systime Fri J
                                  | un 13 13:01:15 CEST 2025 on [NetBSD NetBSD
                                  | 81VM.ESXsrv.net 8.1 NetBSD 8.1 (GENERIC) #
                                  | 0: Fri May 31 08:43:59 UTC 2019 mkrepro@mk
                                  | repro.NetBSD.org:/usr/src/sys/arch/amd64/c
                                  | ompile/GENERIC amd64]
----------------------------------+--------------------------------------------
 x86_MacOS_32_clangV702           | Apple LLVM version 7.0.2 (clang-700.1.81)
                                  | as [Mach-O executable i386] at systime Fri
                                  |  Jun 13 13:01:10 CEST 2025 on [Darwin MacI
                                  | ntel 14.5.0 Darwin Kernel Version 14.5.0:
                                  | Tue Apr 11 16:12:42 PDT 2017; root:xnu-278
                                  | 2.50.9.2.3~1/RELEASE_X86_64 x86_64]
----------------------------------+--------------------------------------------
 x86_SunOS_32_ccV510              | cc: Sun C 5.10 SunOS_i386 Patch 142363-09
                                  | 2012/08/15 as [ELF 32-bit LSB executable 8
                                  | 0386 Version 1 [FPU], dynamically linked,
                                  | stripped] at systime Fri Jun 13 13:01:15 C
                                  | EST 2025 on [SunOS SunOSx86 5.11 11.1 i86p
                                  | c i386 Solaris]
----------------------------------+--------------------------------------------
 x86_SunOS_32_gccV343             | gcc version 3.4.3 (csl-sol210-3_4-branch+s
                                  | ol_rpath) as [ELF 32-bit LSB executable 80
                                  | 386 Version 1, dynamically linked, strippe
                                  | d] at systime Fri Jun 13 13:01:02 CEST 202
                                  | 5 on [SunOS SunOSx86 5.11 11.1 i86pc i386
                                  | Solaris]
----------------------------------+--------------------------------------------
 x86_UnixwareSCO_32_ccsV42        | Optimizing C Compilation System (CCS) 4.2
                                  | 05/13/08 (uw714mp4.bl3h) as [ELF 32-bit LS
                                  | B executable 80386, dynamically linked, st
                                  | ripped, no debug (SVR5 ABI)] at systime Fr
                                  | i Jun 13 13:12:32 CET 2025 on [UnixWare un
                                  | ixware 5 7.1.4 i386 x86at SCO UNIX_SVR5]
----------------------------------+--------------------------------------------
 x86_UnixwareSCO_32_gccV295       | gcc version 2.95.2 19991024 (release) as [
                                  | ELF 32-bit LSB executable 80386, dynamical
                                  | ly linked, stripped, no debug (SVR5 ABI)]
                                  | at systime Fri Jun 13 13:13:01 CET 2025 on
                                  |  [UnixWare unixware 5 7.1.4 i386 x86at SCO
                                  |  UNIX_SVR5]
----------------------------------+--------------------------------------------
 x86_Android_32_gccV49x           | gcc version 4.9.x 20150123 (prerelease) (G
                                  | CC) (cross-toolchain) (m32 i686-linux-andr
                                  | oid -D__ANDROID_API__=26) as [ELF 32-bit L
                                  | SB executable, Intel 80386, version 1 (SYS
                                  | V), dynamically linked (uses shared libs),
                                  |  stripped] at systime Fri Jun 13 13:01:20
                                  | CEST 2025 on [Linux Linux64core 5.10.0-6-a
                                  | md64 #1 SMP Debian 5.10.28-1 (2021-04-09)
                                  | x86_64 GNU/Linux]
----------------------------------+--------------------------------------------
 x86_Android_32_clangV503         | clang version 5.0.300080 (based on LLVM 5.
                                  | 0.300080) (cross-toolchain) (m32 i686-linu
                                  | x-android -D__ANDROID_API__=26) as [ELF 32
                                  | -bit LSB executable, Intel 80386, version
                                  | 1 (SYSV), dynamically linked (uses shared
                                  | libs), stripped] at systime Fri Jun 13 13:
                                  | 01:14 CEST 2025 on [Linux Linux64core 5.10
                                  | .0-6-amd64 #1 SMP Debian 5.10.28-1 (2021-0
                                  | 4-09) x86_64 GNU/Linux]
----------------------------------+--------------------------------------------
 x86-64_WindowsCygwin_64_gccV640  | gcc version 6.4.0 (GCC) as [PE32+ executab
                                  | le (console) x86-64 (stripped to external
                                  | PDB), for MS Windows] at systime Fri Jun 1
                                  | 3 13:01:17 CEST 2025 on [CYGWIN_NT-6.1 WIN
                                  | DOWS7VM 2.10.0(0.325/5/3) 2018-02-02 15:16
                                  |  x86_64 Cygwin]
----------------------------------+--------------------------------------------
 x86-64_Linux_64_gccV485          | gcc version 4.8.5 20150623 (Red Hat 4.8.5-
                                  | 4) (GCC) as [ELF 64-bit LSB executable, x8
                                  | 6-64, version 1 (SYSV), dynamically linked
                                  |  (uses shared libs), for GNU/Linux 2.6.32,
                                  |  stripped] at systime Fri Jun 13 13:01:13
                                  | CEST 2025 on [Linux RedHatELS72VM 3.10.0-3
                                  | 27.el7.x86_64 #1 SMP Thu Oct 29 17:29:29 E
                                  | DT 2015 x86_64]
----------------------------------+--------------------------------------------
 x86-64_Linux_64_gccV1021         | gcc version 10.2.1 20210110 (Debian 10.2.1
                                  | -6) as [ELF 64-bit LSB executable, x86-64,
                                  |  version 1 (SYSV), dynamically linked (use
                                  | s shared libs), for GNU/Linux 3.2.0, strip
                                  | ped] at systime Fri Jun 13 13:01:21 CEST 2
                                  | 025 on [Linux Linux64core 5.10.0-6-amd64 #
                                  | 1 SMP Debian 5.10.28-1 (2021-04-09) x86_64
                                  | ]
----------------------------------+--------------------------------------------
 x86-64_Linux_64_clangV1101       | Debian clang version 11.0.1-2 as [ELF 64-b
                                  | it LSB executable, x86-64, version 1 (SYSV
                                  | ), dynamically linked (uses shared libs),
                                  | for GNU/Linux 3.2.0, stripped] at systime
                                  | Fri Jun 13 13:01:24 CEST 2025 on [Linux Li
                                  | nux64core 5.10.0-6-amd64 #1 SMP Debian 5.1
                                  | 0.28-1 (2021-04-09) x86_64]
----------------------------------+--------------------------------------------
 x86-64_Linux_64_iccVxe2019u3     | icc version 19.0.3.199 (gcc version 4.8.5
                                  | compatibility) Intel(R) C Intel(R) 64 Comp
                                  | iler for applications running on Intel(R)
                                  | 64, Version 19.0.3.199 Build 20190206 (Cop
                                  | yright (C) 1985-2019 Intel Corporation. Al
                                  | l rights reserved.) as [ELF 64-bit LSB exe
                                  | cutable, x86-64, version 1 (SYSV), dynamic
                                  | ally linked (uses shared libs), for GNU/Li
                                  | nux 2.6.32, stripped] at systime Fri Jun 1
                                  | 3 13:01:20 CEST 2025 on [Linux RedHatELS72
                                  | VM 3.10.0-327.el7.x86_64 #1 SMP Thu Oct 29
                                  |  17:29:29 EDT 2015 x86_64]
----------------------------------+--------------------------------------------
 x86-64_FreeBSD_64_gccV920        | gcc version 9.2.0 (FreeBSD Ports Collectio
                                  | n) as [ELF 64-bit LSB executable, x86-64,
                                  | version 1 (FreeBSD), dynamically linked (u
                                  | ses shared libs), for FreeBSD 12.1, FreeBS
                                  | D-style, stripped] at systime Fri Jun 13 1
                                  | 3:01:14 CEST 2025 on [FreeBSD FreeBSD12VM
                                  | 12.1-RELEASE FreeBSD 12.1-RELEASE r354233
                                  | GENERIC amd64]
----------------------------------+--------------------------------------------
 x86-64_FreeBSD_64_clangV801      | FreeBSD clang version 8.0.1 (tags/RELEASE_
                                  | 801/final 366581) (based on LLVM 8.0.1) as
                                  |  [ELF 64-bit LSB executable, x86-64, versi
                                  | on 1 (FreeBSD), dynamically linked (uses s
                                  | hared libs), for FreeBSD 12.1, FreeBSD-sty
                                  | le, stripped] at systime Fri Jun 13 13:01:
                                  | 13 CEST 2025 on [FreeBSD FreeBSD12VM 12.1-
                                  | RELEASE FreeBSD 12.1-RELEASE r354233 GENER
                                  | IC amd64]
----------------------------------+--------------------------------------------
 x86-64_OpenBSD_64_gccV830        | gcc version 8.3.0 (GCC) as [ELF 64-bit LSB
                                  |  executable, x86-64, version 1, dynamicall
                                  | y linked (uses shared libs), for OpenBSD 6
                                  | .6, stripped] at systime Fri Jun 13 13:01:
                                  | 18 CEST 2025 on [OpenBSD OpenBSD66VM.ESXsr
                                  | v.net 6.6 (GENERIC.MP) #372: Sat Oct 12 10
                                  | :56:27 MDT 2019 deraadt@amd64.openbsd.org:
                                  | /usr/src/sys/arch/amd64/compile/GENERIC.MP
                                  |  amd64]
----------------------------------+--------------------------------------------
 x86-64_OpenBSD_64_clangV801      | clang version 8.0.1 (tags/RELEASE_801/fina
                                  | l) (based on LLVM 8.0.1) as [ELF 64-bit LS
                                  | B executable, x86-64, version 1, dynamical
                                  | ly linked (uses shared libs), for OpenBSD
                                  | 6.6, stripped] at systime Fri Jun 13 13:01
                                  | :17 CEST 2025 on [OpenBSD OpenBSD66VM.ESXs
                                  | rv.net 6.6 (GENERIC.MP) #372: Sat Oct 12 1
                                  | 0:56:27 MDT 2019 deraadt@amd64.openbsd.org
                                  | :/usr/src/sys/arch/amd64/compile/GENERIC.M
                                  | P amd64]
----------------------------------+--------------------------------------------
 x86-64_NetBSD_64_gccV830         | gcc version 8.3.0 (GCC) as [ELF 64-bit LSB
                                  |  executable, x86-64, version 1 (SYSV), dyn
                                  | amically linked (uses shared libs), for Ne
                                  | tBSD 8.1, stripped] at systime Fri Jun 13
                                  | 13:01:13 CEST 2025 on [NetBSD NetBSD81VM.E
                                  | SXsrv.net 8.1 NetBSD 8.1 (GENERIC) #0: Fri
                                  |  May 31 08:43:59 UTC 2019 mkrepro@mkrepro.
                                  | NetBSD.org:/usr/src/sys/arch/amd64/compile
                                  | /GENERIC amd64]
----------------------------------+--------------------------------------------
 x86-64_NetBSD_64_clangV900       | clang version 9.0.0 (tags/RELEASE_900/fina
                                  | l) (based on LLVM 9.0.0) as [ELF 64-bit LS
                                  | B executable, x86-64, version 1 (SYSV), dy
                                  | namically linked (uses shared libs), for N
                                  | etBSD 8.1, stripped] at systime Fri Jun 13
                                  |  13:01:20 CEST 2025 on [NetBSD NetBSD81VM.
                                  | ESXsrv.net 8.1 NetBSD 8.1 (GENERIC) #0: Fr
                                  | i May 31 08:43:59 UTC 2019 mkrepro@mkrepro
                                  | .NetBSD.org:/usr/src/sys/arch/amd64/compil
                                  | e/GENERIC amd64]
----------------------------------+--------------------------------------------
 x86-64_MacOS_64_clangV702        | Apple LLVM version 7.0.2 (clang-700.1.81)
                                  | as [Mach-O 64-bit executable x86_64] at sy
                                  | stime Fri Jun 13 13:01:10 CEST 2025 on [Da
                                  | rwin MacIntel 14.5.0 Darwin Kernel Version
